event_id,intention_id,event_date,event_type,hours_spent,note
122,2,2023-04-21,RESEARCHED,0.8,
123,251,2023-08-06,CREATED,0.0,
124,267,2024-02-17,RESEARCHED,1.3,
125,301,2023-04-07,RESEARCHED,0.9,
126,116,2024-05-05,RESEARCHED,0.5,
127,240,2023-03-17,CREATED,0.0,
128,237,2023-09-18,RESEARCHED,0.3,
129,267,2024-09-01,CONTINUED,12.3,
130,186,2025-03-12,PLANNED,0.0,
131,90,2024-03-28,CREATED,0.0,
132,108,2025-02-25,RESEARCHED,2.0,
133,308,2025-05-10,CONTINUED,0.8,
134,171,2025-01-02,CONTINUED,0.9,
135,170,2024-04-13,CONTINUED,3.1,
136,86,2024-11-13,CREATED,0.0,
137,271,2025-01-09,RESEARCHED,0.4,
138,308,2025-02-03,STARTED,0.0,
139,55,2024-02-23,POSTPONED,0.0,Unclear next step
140,293,2023-04-25,RESEARCHED,0.0,
141,308,2025-06-02,POSTPONED,0.0,Overestimated effort required
142,14,2024-07-27,PLANNED,0.0,
143,196,2025-05-16,REPLACED,0.0,Replaced by a different priority
144,307,2023-10-07,POSTPONED,0.0,Lack of motivation
145,182,2024-09-24,STARTED,0.0,
146,36,2023-08-19,CREATED,0.0,
147,157,2025-05-04,CONTINUED,0.7,
148,51,2023-04-07,CONTINUED,2.5,
149,79,2025-06-17,CREATED,0.0,
150,127,2024-06-07,CONTINUED,1.0,
151,54,2024-09-03,RESEARCHED,1.8,
152,26,2024-05-27,CREATED,0.0,
153,318,2024-09-22,CREATED,0.0,
154,184,2024-02-14,RESEARCHED,0.0,
155,134,2025-04-05,CONTINUED,1.8,
156,111,2023-07-12,PLANNED,0.0,
157,65,2025-05-21,RESEARCHED,1.0,
158,114,2023-12-12,RESEARCHED,0.3,
159,101,2024-10-03,CREATED,0.0,
160,264,2023-02-16,CREATED,0.0,
161,60,2024-03-15,POSTPONED,0.0,Overestimated effort required
162,49,2024-03-13,CONTINUED,1.1,
163,207,2025-05-02,CREATED,0.0,
164,316,2024-01-19,CREATED,0.0,
165,38,2023-02-08,RESEARCHED,0.0,
166,188,2024-01-27,REPLACED,0.0,Replaced by a different priority
167,163,2023-01-27,CREATED,0.0,
168,203,2025-06-29,POSTPONED,0.0,Competing priorities
169,39,2024-08-06,COMPLETED,0.0,
170,197,2023-11-12,STARTED,0.0,
171,268,2025-05-03,CREATED,0.0,
172,267,2024-02-24,PLANNED,0.0,
173,306,2023-11-10,RESEARCHED,1.1,
174,218,2025-04-22,CREATED,0.0,
175,263,2024-01-27,CONTINUED,3.5,
176,93,2023-02-17,CREATED,0.0,
177,112,2024-07-31,CREATED,0.0,
178,45,2023-12-23,POSTPONED,0.0,Lack of time
179,76,2023-12-07,CONTINUED,4.0,
180,274,2025-07-04,CONTINUED,60.0,
181,214,2025-05-02,STARTED,0.0,
182,212,2023-08-29,RESEARCHED,1.8,
183,219,2024-05-16,PLANNED,0.0,
184,237,2023-08-25,RESEARCHED,0.5,
185,248,2024-07-23,CREATED,0.0,
186,121,2023-05-28,PLANNED,0.0,
187,52,2023-04-03,RESEARCHED,0.0,
188,111,2023-10-17,COMPLETED,0.0,
189,291,2024-06-29,POSTPONED,0.0,No accountability
190,194,2024-03-20,CREATED,0.0,
191,267,2024-02-18,RESEARCHED,1.5,
192,312,2023-12-30,CONTINUED,4.9,
193,1,2025-02-23,PLANNED,0.0,
194,99,2025-04-30,CREATED,0.0,
195,291,2024-05-27,CONTINUED,0.4,
196,241,2023-03-18,RESEARCHED,0.6,
197,31,2024-05-12,CREATED,0.0,
198,312,2024-04-08,POSTPONED,0.0,Low energy / burnout
199,76,2023-11-14,PLANNED,0.0,
200,53,2024-11-22,CREATED,0.0,
201,215,2023-06-17,RESEARCHED,1.0,
202,154,2024-12-04,RESEARCHED,1.5,
203,97,2025-06-08,PLANNED,0.0,
204,120,2025-05-11,POSTPONED,0.0,Lack of motivation
205,183,2024-07-05,CREATED,0.0,
206,108,2025-02-04,CREATED,0.0,
207,56,2024-03-04,RESEARCHED,2.4,
208,168,2024-01-17,POSTPONED,0.0,Competing priorities
209,146,2024-03-27,CREATED,0.0,
210,173,2023-11-17,CONTINUED,4.1,
211,166,2024-04-01,RESEARCHED,0.0,
212,8,2025-06-09,PLANNED,0.0,
213,176,2024-05-09,RESEARCHED,0.6,
214,31,2024-05-30,PLANNED,0.0,
215,50,2023-12-12,RESEARCHED,0.0,
216,276,2025-07-04,CONTINUED,60.0,
217,319,2025-05-15,RESEARCHED,0.0,
218,34,2025-01-17,CREATED,0.0,
219,274,2025-06-08,RESEARCHED,0.5,
220,168,2024-04-08,ABANDONED,0.0,Lost interest
221,145,2023-04-16,CREATED,0.0,
222,95,2024-03-31,POSTPONED,0.0,Lack of motivation
223,227,2025-01-10,PLANNED,0.0,
224,274,2025-06-25,STARTED,0.0,
225,49,2023-10-20,CREATED,0.0,
226,169,2025-05-05,RESEARCHED,0.9,
227,150,2023-06-09,REPLACED,0.0,Replaced by a different priority
228,45,2023-12-27,PLANNED,0.0,
229,170,2024-05-12,CONTINUED,0.5,
230,90,2024-04-16,RESEARCHED,2.2,
231,96,2024-01-28,POSTPONED,0.0,No accountability
232,65,2025-04-29,CREATED,0.0,
233,84,2023-06-30,COMPLETED,0.0,
234,275,2024-02-20,RESEARCHED,1.8,
235,305,2024-02-25,CREATED,0.0,
236,291,2024-03-07,RESEARCHED,0.5,
237,298,2023-04-06,CREATED,0.0,
238,55,2023-09-25,CREATED,0.0,
239,13,2023-08-03,CREATED,0.0,
240,159,2023-03-03,CREATED,0.0,
241,95,2024-07-14,ABANDONED,0.0,Blocked by dependency
242,169,2025-06-05,RESEARCHED,0.5,
243,7,2023-06-16,RESEARCHED,0.0,
244,90,2024-05-11,RESEARCHED,3.9,
245,117,2024-11-14,RESEARCHED,1.9,
246,170,2023-11-23,RESEARCHED,0.2,
247,267,2024-10-06,CONTINUED,9.0,
248,20,2024-10-25,PLANNED,0.0,
249,57,2025-07-08,ABANDONED,0.0,Unclear next step
250,139,2024-01-09,RESEARCHED,1.7,
251,198,2023-05-06,POSTPONED,0.0,Low energy / burnout
252,37,2023-01-08,CREATED,0.0,
253,130,2024-03-06,CONTINUED,0.8,
254,51,2023-02-26,RESEARCHED,0.0,
255,200,2025-02-04,ABANDONED,0.0,Lack of money
256,91,2024-06-09,COMPLETED,0.0,
257,9,2024-11-11,CONTINUED,4.9,
258,90,2024-04-04,RESEARCHED,0.5,
259,246,2023-06-08,RESEARCHED,0.0,
260,20,2024-09-02,RESEARCHED,3.1,
261,136,2025-01-02,RESEARCHED,2.3,
262,301,2023-03-21,CREATED,0.0,
263,298,2023-05-08,PLANNED,0.0,
264,294,2025-01-11,CREATED,0.0,
265,224,2025-07-27,POSTPONED,0.0,Blocked by dependency
266,40,2025-02-11,RESEARCHED,0.4,
267,276,2025-03-29,RESEARCHED,1.2,
268,179,2024-10-06,PLANNED,0.0,
269,161,2024-07-06,CREATED,0.0,
270,83,2024-12-04,CREATED,0.0,
271,127,2024-09-15,POSTPONED,0.0,Competing priorities
272,152,2023-11-01,CREATED,0.0,
273,147,2023-04-27,CREATED,0.0,
274,120,2025-02-24,CREATED,0.0,
275,230,2023-10-01,RESEARCHED,1.5,
276,299,2023-01-26,RESEARCHED,1.1,
277,39,2023-12-19,POSTPONED,0.0,Lack of time
278,73,2025-04-01,CREATED,0.0,
279,213,2023-10-19,RESEARCHED,0.4,
280,131,2023-11-11,RESEARCHED,2.2,
281,214,2025-07-11,COMPLETED,0.0,
282,91,2024-03-20,CONTINUED,3.5,
283,317,2023-05-21,CREATED,0.0,
284,129,2025-04-05,RESEARCHED,0.3,
285,197,2023-09-08,CREATED,0.0,
286,55,2023-11-14,POSTPONED,0.0,Overestimated effort required
287,193,2025-01-12,ABANDONED,0.0,Perfectionism / fear of failure
288,289,2024-11-10,RESEARCHED,4.7,
289,111,2023-07-21,STARTED,0.0,
290,247,2025-05-29,CONTINUED,2.9,
291,49,2023-12-19,STARTED,0.0,
292,174,2023-05-05,CREATED,0.0,
293,267,2024-03-01,STARTED,0.0,
294,20,2025-01-09,POSTPONED,0.0,Lack of money
295,266,2023-12-02,CREATED,0.0,
296,201,2024-12-02,RESEARCHED,3.1,
297,186,2025-02-21,POSTPONED,0.0,Unclear next step
298,106,2025-06-26,RESEARCHED,4.1,
299,237,2023-08-15,CREATED,0.0,
300,182,2024-11-04,COMPLETED,0.0,
301,130,2024-01-18,STARTED,0.0,
302,292,2025-03-23,RESEARCHED,2.4,
303,198,2023-03-22,CREATED,0.0,
304,96,2024-03-16,COMPLETED,0.0,
305,38,2023-02-02,CREATED,0.0,
306,234,2023-06-29,CONTINUED,1.1,
307,302,2025-08-01,ABANDONED,0.0,Overestimated effort required
308,219,2024-05-03,RESEARCHED,1.9,
309,222,2023-06-01,STARTED,0.0,
310,69,2023-05-05,CONTINUED,1.1,
311,306,2023-11-21,PLANNED,0.0,
312,221,2023-08-15,CONTINUED,4.9,
313,55,2023-10-05,RESEARCHED,0.3,
314,158,2024-07-12,RESEARCHED,0.4,
315,228,2023-10-10,CREATED,0.0,
316,57,2025-02-08,CREATED,0.0,
317,54,2024-10-13,RESEARCHED,0.3,
318,277,2023-08-24,STARTED,0.0,
319,127,2024-03-19,CREATED,0.0,
320,277,2023-07-25,RESEARCHED,0.3,
321,227,2025-05-19,ABANDONED,0.0,Unclear next step
322,185,2024-09-28,STARTED,0.0,
323,9,2024-10-23,CONTINUED,3.8,
324,185,2024-11-13,COMPLETED,0.0,
325,246,2023-06-29,POSTPONED,0.0,Unclear next step
326,179,2025-01-03,ABANDONED,0.0,Unclear next step
327,263,2023-10-18,CREATED,0.0,
328,61,2024-11-14,CREATED,0.0,
329,130,2024-01-31,CONTINUED,3.9,
330,43,2023-04-13,PLANNED,0.0,
331,284,2024-05-08,ABANDONED,0.0,Lack of motivation
332,41,2025-05-17,RESEARCHED,0.6,
333,54,2024-11-07,PLANNED,0.0,
334,5,2024-09-30,RESEARCHED,0.9,
335,227,2024-12-19,RESEARCHED,1.1,
336,139,2024-02-06,RESEARCHED,1.2,
337,141,2024-01-03,PLANNED,0.0,
338,214,2025-02-03,CREATED,0.0,
339,254,2023-03-04,RESEARCHED,0.6,
340,196,2025-05-03,POSTPONED,0.0,Lost interest
341,58,2024-08-25,RESEARCHED,1.7,
342,26,2024-06-11,RESEARCHED,2.5,
343,293,2023-04-07,CREATED,0.0,
344,271,2025-01-10,RESEARCHED,1.1,
345,76,2023-09-28,RESEARCHED,0.8,
346,25,2024-01-31,CONTINUED,2.8,
347,308,2025-04-14,POSTPONED,0.0,Unclear next step
348,129,2025-05-03,POSTPONED,0.0,Lack of motivation
349,76,2024-02-01,POSTPONED,0.0,Blocked by dependency
350,186,2025-02-01,CREATED,0.0,
351,250,2024-11-09,POSTPONED,0.0,Lack of money
352,176,2024-04-17,CREATED,0.0,
353,86,2024-11-21,RESEARCHED,1.4,
354,252,2025-07-08,RESEARCHED,7.4,
355,11,2025-05-31,RESEARCHED,5.4,
356,133,2024-03-07,STARTED,0.0,
357,178,2023-09-07,CREATED,0.0,
358,119,2024-04-29,CREATED,0.0,
359,281,2023-12-16,RESEARCHED,0.0,
360,41,2025-05-05,RESEARCHED,1.1,
361,130,2023-12-15,RESEARCHED,1.1,
362,243,2025-05-23,CREATED,0.0,
363,271,2024-12-27,CREATED,0.0,
364,161,2024-07-14,PLANNED,0.0,
365,169,2025-07-09,ABANDONED,0.0,Lack of time
366,77,2025-06-04,CREATED,0.0,
367,213,2023-12-13,REPLACED,60.0,Replaced by a different priority
368,59,2024-09-15,ABANDONED,0.0,No accountability
369,45,2023-11-05,RESEARCHED,0.0,
370,198,2023-04-08,RESEARCHED,0.4,
371,80,2023-03-31,RESEARCHED,1.7,
372,225,2024-07-25,REPLACED,0.0,Replaced by a different priority
373,111,2023-06-27,RESEARCHED,2.5,
374,101,2025-03-10,CONTINUED,1.9,
375,174,2023-09-19,CONTINUED,1.3,
376,282,2023-06-27,CONTINUED,1.7,
377,208,2025-04-01,CREATED,0.0,
378,25,2024-01-21,CONTINUED,13.8,
379,171,2024-12-23,STARTED,0.0,
380,204,2023-08-31,CREATED,0.0,
381,91,2023-11-23,RESEARCHED,0.4,
382,47,2023-06-20,CREATED,0.0,
383,186,2025-03-16,STARTED,0.0,
384,197,2024-01-01,CONTINUED,0.7,
385,100,2024-06-16,POSTPONED,0.0,Overestimated effort required
386,39,2024-04-03,CONTINUED,3.1,
387,223,2024-03-09,STARTED,0.0,
388,62,2024-01-21,ABANDONED,0.0,Lack of time
389,212,2023-11-29,CONTINUED,0.6,
390,245,2025-02-08,PLANNED,0.0,
391,189,2024-04-12,CREATED,0.0,
392,97,2025-05-31,RESEARCHED,0.6,
393,107,2024-01-07,PLANNED,0.0,
394,219,2024-06-06,CONTINUED,1.6,
395,45,2023-11-24,RESEARCHED,0.6,
396,221,2023-09-06,COMPLETED,0.0,
397,182,2024-08-28,RESEARCHED,0.3,
398,238,2024-04-21,RESEARCHED,0.8,
399,233,2023-08-22,ABANDONED,0.0,No accountability
400,213,2023-10-27,RESEARCHED,0.7,
401,190,2024-04-29,RESEARCHED,0.8,
402,94,2025-06-26,CREATED,0.0,
403,185,2024-09-14,RESEARCHED,0.6,
404,85,2024-12-02,PLANNED,0.0,
405,306,2024-04-16,COMPLETED,0.0,
406,307,2023-09-04,RESEARCHED,1.3,
407,125,2023-12-23,RESEARCHED,5.6,
408,26,2024-09-08,CONTINUED,0.5,
409,40,2025-03-25,ABANDONED,0.0,Lost interest
410,137,2023-04-29,RESEARCHED,2.5,
411,33,2025-06-24,RESEARCHED,2.3,
412,287,2024-11-14,RESEARCHED,0.5,
413,298,2023-07-07,ABANDONED,0.0,Unclear next step
414,59,2024-06-25,PLANNED,0.0,
415,312,2024-02-19,CONTINUED,1.0,
416,101,2024-11-04,POSTPONED,0.0,Competing priorities
417,150,2023-05-21,RESEARCHED,0.3,
418,288,2023-05-16,STARTED,0.0,
419,267,2024-04-03,CONTINUED,0.0,
420,67,2023-04-25,CREATED,0.0,
421,8,2025-05-24,POSTPONED,0.0,Overestimated effort required
422,248,2024-07-30,RESEARCHED,0.2,
423,133,2024-02-14,POSTPONED,0.0,Competing priorities
424,107,2024-02-05,ABANDONED,0.0,Lost interest
425,103,2023-11-01,ABANDONED,0.0,Unclear next step
426,229,2024-10-19,CREATED,0.0,
427,312,2023-10-28,RESEARCHED,0.8,
428,115,2025-02-09,CREATED,60.0,
429,218,2025-05-31,PLANNED,0.0,
430,197,2023-09-28,RESEARCHED,2.6,
431,131,2023-09-07,CREATED,0.0,
432,29,2025-07-09,RESEARCHED,0.7,
433,197,2023-11-29,CONTINUED,2.8,
434,128,2023-06-30,CREATED,0.0,
435,228,2023-10-27,RESEARCHED,1.1,
436,313,2023-06-18,RESEARCHED,0.0,
437,117,2024-10-27,CREATED,0.0,
438,160,2024-06-01,RESEARCHED,0.0,
439,34,2025-03-03,RESEARCHED,1.0,
440,25,2023-12-27,STARTED,0.0,
441,227,2025-03-18,CONTINUED,2.2,
442,187,2024-05-22,CREATED,0.0,
443,125,2023-12-22,CREATED,0.0,
444,144,2024-01-28,ABANDONED,0.0,Perfectionism / fear of failure
445,165,2025-03-02,CONTINUED,6.7,
446,295,2024-08-19,CREATED,0.0,
447,158,2024-10-09,ABANDONED,0.0,Lack of money
448,190,2024-05-10,ABANDONED,0.0,Lack of time
449,157,2025-02-08,POSTPONED,0.0,Perfectionism / fear of failure
450,157,2025-06-07,POSTPONED,0.0,Lack of time
451,157,2024-12-04,CREATED,0.0,
452,306,2023-11-15,RESEARCHED,1.1,
453,312,2023-10-19,CREATED,0.0,
454,134,2025-02-19,RESEARCHED,1.8,
455,276,2025-05-30,CONTINUED,5.9,
456,96,2023-10-28,CONTINUED,1.5,
457,298,2023-04-29,RESEARCHED,1.5,
458,181,2023-10-01,CREATED,0.0,
459,130,2024-05-09,CONTINUED,4.6,
460,250,2024-10-16,RESEARCHED,3.2,
461,212,2023-09-15,STARTED,0.0,
462,244,2025-06-28,CREATED,0.0,
463,100,2024-06-02,RESEARCHED,0.8,
464,232,2025-04-11,RESEARCHED,2.0,
465,269,2025-07-13,PLANNED,0.0,
466,144,2023-10-26,RESEARCHED,1.9,
467,77,2025-07-17,PLANNED,0.0,
468,141,2023-12-14,RESEARCHED,1.5,
469,221,2023-07-18,STARTED,0.0,
470,267,2024-04-10,CONTINUED,6.1,
471,311,2025-06-14,CREATED,0.0,
472,104,2024-02-29,CREATED,0.0,
473,51,2023-03-25,STARTED,0.0,
474,20,2025-04-04,CONTINUED,3.1,
475,81,2024-09-12,CREATED,0.0,
476,96,2023-09-03,POSTPONED,0.0,Lost interest
477,314,2025-06-24,CREATED,0.0,
478,316,2024-02-06,RESEARCHED,0.8,
479,69,2023-02-12,CREATED,0.0,
480,230,2023-10-04,RESEARCHED,2.0,
481,223,2024-04-28,CONTINUED,0.5,
482,76,2023-11-23,STARTED,0.0,
483,84,2023-05-14,STARTED,0.0,
484,271,2025-01-26,RESEARCHED,1.8,
485,48,2023-03-03,RESEARCHED,0.3,
486,74,2025-04-08,RESEARCHED,6.4,
487,223,2024-06-19,COMPLETED,0.0,
488,313,2023-07-06,RESEARCHED,2.0,
489,185,2024-09-19,PLANNED,0.0,
490,187,2024-05-26,RESEARCHED,1.2,
491,41,2025-06-05,STARTED,0.0,
492,123,2024-12-08,CREATED,0.0,
493,266,2023-12-25,RESEARCHED,2.1,
494,215,2023-06-23,RESEARCHED,1.3,
495,156,2023-08-26,CREATED,0.0,
496,226,2023-10-30,REPLACED,0.0,Replaced by a different priority
497,123,2024-12-16,RESEARCHED,0.5,
498,58,2024-08-31,RESEARCHED,1.4,
499,249,2023-12-29,CREATED,0.0,
500,43,2023-06-05,ABANDONED,0.0,Low energy / burnout
501,157,2025-02-27,PLANNED,0.0,
502,125,2024-01-05,RESEARCHED,0.8,
503,206,2024-08-02,CREATED,0.0,
504,247,2025-05-31,CONTINUED,1.3,
505,80,2023-02-09,CREATED,0.0,
506,60,2023-12-01,STARTED,0.0,
507,55,2023-11-30,PLANNED,0.0,
508,209,2024-11-25,CREATED,0.0,
509,231,2023-08-02,RESEARCHED,0.5,
510,227,2025-02-11,CONTINUED,3.5,
511,61,2024-12-25,RESEARCHED,0.8,
512,226,2023-08-13,RESEARCHED,0.5,
513,130,2024-03-20,CONTINUED,1.2,
514,111,2023-05-11,CREATED,0.0,
515,59,2024-06-02,CREATED,0.0,
516,276,2025-03-12,RESEARCHED,4.4,
517,219,2024-07-21,CONTINUED,4.5,
518,43,2023-03-04,CREATED,0.0,
519,11,2025-05-31,RESEARCHED,5.4,
520,245,2025-01-17,CREATED,0.0,
521,48,2023-03-23,RESEARCHED,2.6,
522,91,2023-12-22,STARTED,0.0,
523,133,2024-01-19,RESEARCHED,0.8,
524,297,2024-02-21,RESEARCHED,1.3,
525,196,2025-04-12,RESEARCHED,0.5,
526,130,2024-06-23,CONTINUED,2.1,
527,302,2025-05-11,RESEARCHED,1.3,
528,173,2023-08-18,STARTED,0.0,
529,73,2025-06-01,STARTED,0.0,
530,219,2024-09-12,CONTINUED,1.7,
531,195,2025-02-27,ABANDONED,0.0,Lack of money
532,20,2024-09-20,RESEARCHED,0.0,
533,14,2024-08-13,REPLACED,0.0,Replaced by a different priority
534,150,2023-05-02,CREATED,0.0,
535,77,2025-06-28,RESEARCHED,0.8,
536,140,2023-10-05,CREATED,0.0,
537,65,2025-06-10,STARTED,0.0,
538,57,2025-02-24,RESEARCHED,0.5,
539,9,2024-12-29,CONTINUED,0.7,
540,90,2024-08-29,ABANDONED,0.0,No accountability
541,221,2023-06-14,RESEARCHED,2.3,
542,262,2025-02-12,CREATED,0.0,
543,220,2024-10-25,CREATED,0.0,
544,56,2024-05-23,ABANDONED,0.0,Lack of motivation
545,18,2024-05-02,PLANNED,0.0,
546,8,2025-04-06,CREATED,0.0,
547,84,2023-03-13,CREATED,0.0,
548,172,2023-08-19,POSTPONED,0.0,Lack of motivation
549,7,2023-05-04,RESEARCHED,3.0,
550,247,2025-05-01,CREATED,0.0,
551,303,2023-05-26,RESEARCHED,2.8,
552,76,2023-10-30,RESEARCHED,0.5,
553,101,2024-11-11,PLANNED,0.0,
554,276,2025-05-16,STARTED,0.0,
555,223,2024-01-15,CREATED,0.0,
556,50,2024-01-01,RESEARCHED,3.3,
557,316,2024-05-21,CONTINUED,0.8,
558,136,2024-12-08,CREATED,0.0,
559,305,2024-03-19,RESEARCHED,1.1,
560,158,2024-07-11,CREATED,0.0,
561,25,2024-04-12,CONTINUED,1.1,
562,268,2025-06-24,PLANNED,0.0,
563,27,2023-06-27,RESEARCHED,0.4,
564,223,2024-04-10,CONTINUED,1.3,
565,254,2023-04-08,PLANNED,60.0,
566,254,2023-02-21,RESEARCHED,2.6,
567,123,2025-01-29,RESEARCHED,3.2,
568,219,2024-04-27,CREATED,0.0,
569,106,2025-07-24,PLANNED,0.0,
570,17,2023-04-20,RESEARCHED,2.5,
571,221,2023-05-24,CREATED,0.0,
572,274,2025-06-12,PLANNED,0.0,
573,182,2024-09-07,PLANNED,0.0,
574,130,2024-03-03,POSTPONED,0.0,Lost interest
575,69,2023-03-20,PLANNED,0.0,
576,159,2023-04-05,POSTPONED,0.0,Overestimated effort required
577,20,2024-10-05,POSTPONED,0.0,Blocked by dependency
578,268,2025-05-26,RESEARCHED,2.3,
579,96,2023-09-20,PLANNED,0.0,
580,85,2024-12-19,CONTINUED,7.0,
581,82,2023-10-02,RESEARCHED,0.6,
582,20,2025-03-13,POSTPONED,0.0,Lack of money
583,63,2025-01-22,ABANDONED,0.0,Perfectionism / fear of failure
584,309,2025-04-27,PLANNED,0.0,
585,165,2025-01-02,PLANNED,0.0,
586,171,2025-01-14,COMPLETED,0.0,
587,27,2023-10-09,ABANDONED,0.0,Lack of motivation
588,106,2025-05-27,CREATED,0.0,
589,297,2024-02-11,RESEARCHED,0.4,
590,280,2024-04-20,CREATED,0.0,
591,69,2023-03-02,RESEARCHED,0.7,
