log_id,intention_id,title,category,motivation,date_created,event_date,event_type,hours_spent,perceived_importance,urgency,personal_interest,career_relevance,estimated_effort_hours,has_deadline,deadline_date,note
24,31,Learn basic public speaking,learning and skills,Personal growth,05-12-2024,2024/05/19,researching,0.5,3.0,3.0,2.0,,10.6,False,,
25,306,Plan a road trip route,travel,Creative expression,10-19-2023,15 Apr 2024,Continued,0.7,4.0,4.0,5.0,1.0,3.0,,,
26,68,Start a niche newsletter,side project,Personal growth,2025-05-04,2025-05-27,Research,0.4,3.0,1.0,3.0,3.0,4.9,FALSE,,
27,212,Write a long-overdue message,Relationship,Curiosity / fun,25/07/2023,14/10/2023,worked on it,2.5,2.0,2.0,4.0,2.0,5.9,,2023-12-24,
28,258,Renew an expiring document,Home and Admin,Curiosity / fun,01-14-2024,14/01/2024,CREATED,,1.0,1.0,4.0,1.0,1.2,no,,
29,223,Schedule regular calls with family,Relationship,Obligation / should-do,2024/01/15,02-11-2024,RESEARCHED,7.8,2.0,2.0,4.0,2.0,9.4,No,,
30,137,Plan a solo trip, Travel,Obligation / should-do,06/04/2023,05-19-2023,delayed,0.0,3.0,1.0,2.0,2.0,2.7,False,,Competing priorities
31,299,build an automation script,SideProject,Personal growth,19 Jan 2023,02/03/2023,start,0.0,2.0,5.0,2.0,2.0,32.7,FALSE,,
32,268,Build a personal dashboard,Side Project,Curiosity / fun,2025/05/03,2025/07/16,finished,0.0,2.0,1.0,,1.0,9.5,,,
33,209,Start a puzzle-solving habit,HOBBY,Personal growth,2024-11-25,12 Jan 2025,RESEARCHED,0.9,5.0,2.0,4.0,1.0,7.0,FALSE,,
34,74,Build an emergency fund,Finance,Obligation / should-do,17 Mar 2025,26/04/2025,Research,1.2,2.0,2.0,3.0,2.0,4.1,N,,
35,49,Set up automatic savings,financial,Creative expression,2023/10/20,12/02/2024,Continued,,2.0,2.0,4.0,3.0,2.8,0,,
36,17,Send a thank-you note,RELATIONSHIPS,Curiosity / fun,2023/03/09,2023/05/07,RESEARCHED,1.3,2.0,3.0,5.0,1.0,3.9,,2023-08-15,
37,254,Start a puzzle-solving habit,hobby,Social connection,30/01/2023,03-29-2023,PUSHED BACK,0.0,1.0,2.0,low,1.0,24.8,Yes,2023-08-11,Overestimated effort required
38,49,Set up automatic savings,Finance,Creative expression,10-20-2023,2023/11/29,Planned,0.0,2.0,2.0,4.0,3.0,2.8,no,,
39,122,Start a small garden,HOBBY,Financial security,02-11-2024,13 Feb 2024,Research,1.8,5.0,1.0,1.0,1.0,31.4,no,,
40,60,Start a photography project,Creative,Social connection,19/10/2023,10/02/2024,Continued,0.6,2.0,3.0,3.0,2.0,14.4,1,2024-03-20,
41,196,Ask for a performance review, Career,Curiosity / fun,26/03/2025,10/04/2025,researching,1.1,1.0,2.0,1.0,1.0,16.2,TRUE,2025-07-09,
42,158,Plan a family visit,Relationships,Social connection,11/07/2024,2024-08-02,Researched,1.9,,3.0,medium,1.0,1.8,,2024-09-01,
43,30,Finish a painting series,Creative,Health & wellbeing,2023-09-04,10-28-2023,PLANNED,0.0,4.0,1.0,1.0,2.0,10.7,0,,
44,273,Collect and organize a hobby set,HOBBY,Curiosity / fun,2025-05-01,31/05/2025,researching,0.4,3.0,3.0,3.0,1.0,24.0,0,,
45,101,Start a niche newsletter,SideProject,Health & wellbeing,2024-10-03,05 Oct 2024,researching,1.3,4.0,4.0,1.0,3.0,4.5,1,2025-02-06,
46,189, Learn basic public speaking  ,learning and skills,Obligation / should-do,2024-04-12,2024-04-21,researching,0.7,1.0,3.0,4.0,2.0,43.0,TRUE,2024-06-01,
47,7,Study for a certification exam,Learning & Skills,Curiosity / fun,2023-04-10,2023/05/26,RESEARCHED,1.5,2.0,4.0,3.0,1.0,17.1,,,
48,57,research visa requirements,TRAVEL ,Career advancement,08 Feb 2025,02 Apr 2025,Research,1.0,3.0,3.0,5.0,1.0,55.7,,,
49,1,Learn SQL properly,learning and skills,Personal growth,29 Jan 2025,02-19-2025,researching,4.6,3.0,2.0,4.0,4.0,6.6,TRUE,2025-04-10,
50,277,Build a personal dashboard,side project,Curiosity / fun,18/07/2023,08-28-2023,completed,0.0,3.0,2.0,5.0,1.0,15.9,,,
51,199,Try a new recipe every week,hobby,Personal growth,2024-05-24,06-05-2024,Researched,0.2,3.0,1.0,3.0,1.0,3.3,FALSE,,
52,159,Train for a 5k run,FITNESS & HEALTH,Social connection,03/03/2023,2023/05/12,STARTED ,0.0,3.0,2.0,3.0,1.0,3.1,1,2023-06-03,
53,101,Start a niche newsletter,side project,Health & wellbeing,03 Oct 2024,01/05/2025,abandoned,0.0,4.0,4.0,1.0,3.0,4.5,1,2025-02-06,Lack of motivation
54,18,Learn a new design software,CREATIVE ,Creative expression,10/02/2024,03-05-2024,researching,0.4,2.0,3.0,3.0,1.0,13.0,N,,
55,222,Research a relocation destination,TRAVEL ,Personal growth,10 Apr 2023,2023-06-21,continued work,1.3,2.0,3.0,2.0,1.0,45.7,TRUE,2023-09-08,
56,209,Start a puzzle-solving habit,Hobby,Personal growth,11-25-2024,20 Dec 2024,Research,0.9,5.0,2.0,4.0,1.0,7.0,No,,
57,225,plan a road trip route, Travel,Social connection,2024-02-22,02-22-2024,New,0.0,4.0,4.0,4.0,1.0,35.5,0,,
58,38,WRITE SHORT STORIES WEEKLY,Creativity,Health & wellbeing,02-02-2023,2023/02/02,CREATED,0.0,3.0,3.0,3.0,1.0,2.1,No,,
59,39,Start a freelance side gig,Side Project,Financial security,10-13-2023,27/11/2023,RESEARCHED,1.6,2.0,3.0,3.0,1.0,9.5,False,,
60,316,Plan a family visit,Relationship,Health & wellbeing,2024/01/19,11 Jun 2024,Abandoned,0.0,3.0,1.0,4.0,1.0,3.9,1,2024-04-23,Low energy / burnout
61,91,Start going to the gym 3x/week,fitness/health,Curiosity / fun,18/10/2023,04-13-2024,worked on it,1.8,3.0,3.0,2.0,2.0,,False,,
62,306,Plan a road trip route,TRAVEL ,Creative expression,10-19-2023,2023-12-14,Started,0.0,4.0,4.0,5.0,1.0,3.0,False,,
63,222,Research a relocation destination,travel,Personal growth,2023-04-10,02 Jul 2023,Replaced,0.0,,,2.0,1.0,45.7,yes,2023-09-08,Replaced by a different priority
64,69,Call an old friend,RELATIONSHIPS,Career advancement,12 Feb 2023,2023-06-22,worked on it,8.3,2.0,2.0,3.0,1.0,5.3,FALSE,,
65,180,Learn to use Power BI,LEARNING & SKILLS,Obligation / should-do,02/03/2025,2025-03-02,Created,0.0,3.0,2.0,3.0,4.0,3.9,,,
66,162,START A HOUSEPLANT COLLECTION,HOBBY,Curiosity / fun,06-29-2025,06-29-2025,CREATED,0.0,2.0,2.0,2.0,2.0,3.7,N,,
67,60,Start a photography project,Creative,Social connection,19/10/2023,18 Jan 2024,Continued,0.4,,3.0,3.0,2.0,14.4,True,2024-03-20,
68,260,Start meditating daily,Fitness and Health,Social connection,2023/02/20,2023-02-28,researching,0.2,3.0,3.0,3.0,,10.9,,,
69,20,Start a small garden,HOBBY,Financial security,2024-08-20,02-08-2025,continued work,2.9,1.0,,3.0,1.0,6.6,,,
70,41,Try a new craft technique,creative,Health & wellbeing,2025/04/06,07-05-2025,delayed,0.0,3.0,3.0,4.0,2.0,2.4,FALSE,,Blocked by dependency
71,214,plan a weekend getaway,Travel,Health & wellbeing,03 Feb 2025,17 Jun 2025,Continued,0.3,1.0,1.0,4.0,1.0,11.2,no,,
72,244,Schedule regular calls with family,RELATIONSHIPS,Creative expression,2025/06/28,19 Jul 2025,researching,0.7,4.0,1.0,3.0,1.0,56.3,Y,2025-10-06,
73,232,Renew an expiring document,HOME & ADMIN,Career advancement,18/03/2025,2025/04/15,PLANNED,0.0,4.0,1.0,5.0,2.0,6.1,,,
74,26,Ask for a performance review,Career,Health & wellbeing,27 May 2024,2024-07-20,STARTED ,0.0,5.0,1.0,2.0,2.0,5.2,0,,
75,77,Reorganize the wardrobe,Home & Admin,Curiosity / fun,04 Jun 2025,27 Jul 2025,Started,0.0,2.0,1.0,1.0,,4.1,1,2025-08-28,
76,309,Plan a weekend getaway,TRAVEL ,Obligation / should-do,07/03/2025,24 Jun 2025,Continued,6.1,3.0,4.0,5.0,1.0,4.7,False,,
77,281,Start a reading challenge,hobby,Curiosity / fun,11-27-2023,2023/12/07,Research,3.0,2.0,3.0,4.0,2.0,,0,,
78,200,Start sketching daily,CREATIVE ,Career advancement,10-15-2024,20 Jan 2025,CONTINUED,0.3,2.0,4.0,4.0,1.0,13.7,True,2025-01-02,
79,28,Start a small blog,side project,Career advancement,05/09/2024,08/11/2024,researching,4.2,4.0,1.0,,3.0,2.7,0,,
80,11,Create a monthly budget,FINANCIAL,Obligation / should-do,05-25-2025,07-06-2025,start,,3.0,2.0,2.0,3.0,20.7,True,2025-07-03,
81,197, Write a long-overdue message  ,Relationship,Personal growth,2023-09-08,2024-02-02,Continued,2.9,high,3.0,2.0,1.0,8.1,0,,
82,173,Plan a solo trip,Travel,Social connection,2023-07-28,07-28-2023,created,0.0,3.0,1.0,very high,3.0,4.7,Yes,2023-09-13,
83,196,Ask for a performance review, Career,Curiosity / fun,03-26-2025,2025-03-26,created,0.0,1.0,2.0,1.0,1.0,16.2,Yes,2025-07-09,
84,296,Compare insurance providers,Financial,Health & wellbeing,2023/05/13,07 Jun 2023,researching,1.3,3.0,2.0,3.0,1.0,5.5,no,,
85,50,Train for a 5k run,fitness/health,Career advancement,2023-10-31,17/11/2023,Researched,3.1,2.0,2.0,2.0,3.0,11.8,Y,2023-11-28,
86,252,Complete a data visualization course,Learning&Skills,Health & wellbeing,2025-05-15,07/06/2025,RESEARCHED,0.7,1.0,4.0,medium,1.0,7.8,No,,
87,173,Plan a solo trip,travel,Social connection,07-28-2023,2023-08-01,Research,0.3,3.0,1.0,5.0,3.0,4.7,yes,2023-09-13,
88,254,Start a puzzle-solving habit,HOBBY,Social connection,2023/01/30,22 Apr 2023,start,0.0,1.0,2.0,2.0,1.0,24.8,True,2023-08-11,
89,82,Organize a small get-together,Relationships,Career advancement,2023/09/18,18 Sep 2023,created,-0.0,3.0,1.0,3.0,1.0,13.0,,2024-01-21,
90,200,Start sketching daily,CREATIVE ,Career advancement,15/10/2024,11-21-2024,PUSHED BACK,0.0,2.0,4.0,4.0,1.0,13.7,TRUE,2025-01-02,Unclear next step
91,319,RESEARCH INVESTMENT OPTIONS,Financial,Obligation / should-do,05/05/2025,2025/05/05,CREATED,0.0,2.0,1.0,3.0,3.0,1.0,,2025-11-21,
92,279,start meditating daily,Fitness & Health,Health & wellbeing,2023-06-06,06-06-2023,Created,0.0,3.0,1.0,5.0,,5.9,no,,
93,285,Finish an online Python course,learning and skills,Obligation / should-do,21/09/2024,12-06-2024,Research,0.3,3.0,medium,2.0,1.0,3.2,N,,
94,168,Learn conversational Spanish,learning and skills,Creative expression,12-04-2023,04/12/2023,CREATED,0.0,3.0,4.0,2.0,3.0,6.7,0,,
95,185,Start a photography project,CREATIVE ,Obligation / should-do,08/08/2024,08-08-2024,CREATED,0.0,4.0,1.0,3.0,,23.9,No,,
96,142, Start a photography project  ,Creative,Social connection,2025-01-26,2025/01/26,CREATED,0.0,3.0,,5.0,1.0,37.6,N,,
97,197,Write a long-overdue message,relationships,Personal growth,08 Sep 2023,2023/10/10,Researched,2.7,4.0,3.0,2.0,1.0,8.1,FALSE,,
98,30,Finish a painting series,Creativity,Health & wellbeing,04/09/2023,23/11/2023,Began,0.0,4.0,1.0,1.0,2.0,10.7,FALSE,,
99,9,Plan a family visit,Relationship,Curiosity / fun,2024/07/19,19/07/2024,created,0.0,4.0,2.0,,1.0,2.2,0,,
100,60,Start a photography project,creative,Social connection,10-19-2023,11-26-2023,planning,0.0,2.0,3.0,3.0,2.0,14.4,Yes,2024-03-20,
101,108,Repair a strained relationship,Relationships,Financial security,2025/02/04,2025/05/04,worked on it,0.8,medium,1.0,2.0,2.0,4.9,N,,
102,197,Write a long-overdue message,RELATIONSHIPS,Personal growth,09-08-2023,2023-09-22,researching,1.7,4.0,3.0,2.0,,8.1,,,
103,99,COLLECT AND ORGANIZE A HOBBY SET,Hobby,Creative expression,2025-04-30,2025-05-14,Research,2.0,3.0,4.0,3.0,1.0,32.2,,,
104,233,Review and cut subscriptions,FINANCIAL,Personal growth,2023/05/14,2023-05-14,CREATED,0.0,1.0,5.0,1.0,1.0,20.5,0,,
105,11,Create a monthly budget,FINANCIAL,Obligation / should-do,2025/05/25,03 Jul 2025,PLANNED,0.0,3.0,2.0,2.0,3.0,20.7,Yes,2025-07-03,
106,71,Build a personal dashboard,side project,Financial security,27/09/2024,27 Sep 2024,Created,0.0,3.0,4.0,4.0,2.0,8.0,0,,
107,215,Research a relocation destination, Travel,Financial security,2023-05-25,06-06-2023,RESEARCHED,,3.0,3.0,3.0,1.0,20.0,,,
108,11,Create a monthly budget,Finance,Obligation / should-do,2025/05/25,2025/06/16,researching,1.1,3.0,2.0,2.0,,20.7,,2025-07-03,
109,180,Learn to use Power BI,LEARNING & SKILLS,Obligation / should-do,2025-03-02,2025-04-06,RESEARCHED,1.8,3.0,2.0,3.0,4.0,3.9,N,,
110,39,Start a freelance side gig,side project,Financial security,13/10/2023,2024/04/24,Postponed,0.0,2.0,3.0,3.0,1.0,9.5,N,,Competing priorities
111,184,Build a personal dashboard,SideProject,Curiosity / fun,22 Jan 2024,01-22-2024,created,0.0,3.0,3.0,3.0,1.0,9.7,No,,
112,105,Call an old friend,Relationships,Obligation / should-do,31 Jul 2023,31/07/2023,Created,0.0,1.0,3.0,2.0,2.0,4.1,N,,
113,218,Start a small garden,HOBBY,Curiosity / fun,22/04/2025,2025/05/02,Research,0.6,3.0,3.0,3.0,1.0,6.8,No,,
114,157,Research a relocation destination, Travel,Financial security,12-04-2024,2024-12-25,RESEARCHED,,3.0,1.0,3.0,2.0,13.5,Yes,2025-02-23,
115,267,IMPROVE SLEEP SCHEDULE,fitness/health,Financial security,2024-01-25,2024-06-10,Continued,6.1,4.0,,3.0,3.0,9.3,No,,
116,15, Create a travel budget  ,Travel,Financial security,2023/10/04,07/11/2023,Research,2.8,medium,4.0,3.0,3.0,0.8,False,,
117,195,BOOK A LONG-POSTPONED TRIP,travel,Career advancement,12-11-2024,01-06-2025,Postponed,0.0,3.0,1.0,4.0,1.0,5.5,False,,Blocked by dependency
118,257,Learn basic public speaking,Learning & Skills,Creative expression,09/08/2023,09 Aug 2023,Created,,3.0,2.0,,3.0,4.0,N,,
119,207,Collect and organize a hobby set,HOBBY,Social connection,02/05/2025,05-29-2025,postponed,0.0,2.0,,3.0,2.0,5.3,No,,Competing priorities
120,24,Build a personal data project,side project,Social connection,11-27-2024,2024/11/27,CREATED,-0.0,3.0,2.0,1.0,4.0,16.1,N,,
121,111,LEARN TO COOK HEALTHIER MEALS,FITNESS & HEALTH,Career advancement,2023-05-11,21/06/2023,RESEARCHED,2.4,3.0,2.0,4.0,1.0,11.1,N,,
122,2,Practice a new software tool weekly,Learning & Skills,Career advancement,31/03/2023,04-21-2023,Research,0.8,2.0,4.0,4.0,1.0,13.3,No,,
123,251,LEARN A CARD OR BOARD GAME DEEPLY,Hobby,Financial security,06/08/2023,08-06-2023,created,0.0,,3.0,1.0,1.0,24.7,TRUE,2023-12-21,
124,267,Improve sleep schedule,fitness/health,Financial security,25 Jan 2024,2024-02-17,Research,1.3,4.0,,3.0,3.0,,0,,
125,301,Improve sleep schedule,Fitness & Health,Health & wellbeing,03-21-2023,2023-04-07,researching,0.9,4.0,1.0,2.0,1.0,7.0,N,,
126,116,Create a monthly budget,FINANCIAL,Career advancement,26 Apr 2024,05-05-2024,Researched,0.5,1.0,low,4.0,1.0,22.9,yes,2024-09-25,
127,240,Plan a trip itinerary,travel,Curiosity / fun,17 Mar 2023,2023/03/17,created,0.0,3.0,2.0,4.0,1.0,27.9,No,,
128,237,Research flights for a trip,TRAVEL ,Career advancement,15/08/2023,18/09/2023,Research,-0.3,3.0,4.0,4.0,1.0,3.4,no,,
129,267,Improve sleep schedule,Fitness & Health,Financial security,25/01/2024,01 Sep 2024,Continued,12.3,4.0,4.0,3.0,3.0,9.3,no,,
130,186,FIND A MENTOR IN MY FIELD,CAREER,Obligation / should-do,02-01-2025,2025-03-12,planning,0.0,1.0,1.0,3.0,,7.7,,,
131,90,Learn key phrases for a trip, Travel,Creative expression,28/03/2024,2024/03/28,Created,,3.0,3.0,,1.0,3.1,No,,
132,108,Repair a strained relationship,relationships,Financial security,2025-02-04,02-25-2025,RESEARCHED,2.0,3.0,1.0,2.0,2.0,4.9,,,
133,308,Try a new craft technique,Creativity,Creative expression,25 Nov 2024,10/05/2025,Continued,0.8,,3.0,2.0,,0.6,no,,
134,171,Build a personal data project,side project,Creative expression,2024-11-04,02/01/2025,Continued,0.9,2.0,1.0,2.0,4.0,29.3,0,,
135,170, Research a relocation destination  ,Travel,Obligation / should-do,2023/11/19,04-13-2024,CONTINUED,3.1,3.0,2.0,5.0,1.0,5.1,1,2024-01-01,
136,86,Start a freelance side gig,Side Project,Obligation / should-do,2024-11-13,11-13-2024,Created,0.0,4.0,1.0,4.0,3.0,1.7,False,,
137,271,Start a small garden,Hobby,Social connection,27 Dec 2024,09 Jan 2025,researching,0.4,1.0,1.0,4.0,,4.9,no,,
138,308,Try a new craft technique,CREATIVE ,Creative expression,2024-11-25,02-03-2025,STARTED ,0.0,1.0,3.0,2.0,1.0,0.6,False,,
139,55,Schedule regular calls with family,Relationships,Curiosity / fun,25/09/2023,02-23-2024,delayed,0.0,4.0,1.0,4.0,1.0,3.4,Y,2024-04-09,Unclear next step
140,293,Complete a data visualization course,Learning & Skills,Obligation / should-do,2023/04/07,04-25-2023,researching,,,1.0,3.0,1.0,4.8,N,,
141,308, Try a new craft technique  ,CREATIVE ,Creative expression,2024/11/25,06-02-2025,postponed,0.0,1.0,3.0,2.0,1.0,0.6,0,,Overestimated effort required
142,14,start journaling regularly,Hobbies,Personal growth,2024-06-30,27/07/2024,planning,0.0,4.0,2.0,4.0,,4.6,N,,
143,196,Ask for a performance review,career,Curiosity / fun,2025/03/26,05-16-2025,REPLACED,0.0,1.0,2.0,,1.0,16.2,TRUE,2025-07-09,Replaced by a different priority
144,307,Learn a new design software,Creative,Creative expression,2023-09-02,07 Oct 2023,PUSHED BACK,0.0,3.0,1.0,3.0,1.0,5.4,no,,Lack of motivation
145,182,plan a savings goal,Finance,Creative expression,2024/08/16,24/09/2024,STARTED ,,3.0,1.0,4.0,3.0,57.2,N,,
146,36,LEARN CONVERSATIONAL SPANISH,Learning & Skills,Financial security,2023-08-19,2023-08-19,Created,0.0,4.0,low,5.0,2.0,94.5,True,2023-09-07,
147,157,Research a relocation destination,travel,Financial security,2024/12/04,05-04-2025,Continued,0.7,3.0,1.0,3.0,2.0,13.5,True,2025-02-23,
148,51,organize digital files,HOME & ADMIN,Personal growth,21 Feb 2023,07 Apr 2023,worked on it,2.5,1.0,3.0,5.0,2.0,2.1,no,,
149,79,Update CV and LinkedIn profile,CAREER,Personal growth,06-17-2025,06-17-2025,CREATED,0.0,2.0,3.0,1.0,5.0,23.6,0,,
150,127,Book a long-postponed trip,Travel,Creative expression,19/03/2024,07/06/2024,Continued,1.0,1.0,4.0,3.0,1.0,3.3,False,,
151,54, Complete a data visualization course  ,learning and skills,Health & wellbeing,08-15-2024,2024-09-03,researching,1.8,1.0,4.0,very low,1.0,9.2,N,,
152,26,Ask for a performance review,CAREER,Health & wellbeing,27/05/2024,2024/05/27,Created,0.0,5.0,1.0,2.0,2.0,5.2,no,,
153,318,Plan a trip itinerary,Travel,Career advancement,2024/09/22,2024/09/22,created,0.0,3.0,2.0,2.0,1.0,8.8,1,2024-10-26,
154,184,Build a personal dashboard,Side Project,Curiosity / fun,2024-01-22,02-14-2024,Researched,,3.0,medium,3.0,1.0,,,,
155,134, Plan a savings goal  ,Finance,Career advancement,2024/12/19,04-05-2025,CONTINUED,1.8,3.0,2.0,5.0,1.0,21.8,No,,
156,111,Learn to cook healthier meals,Fitness and Health,Career advancement,2023/05/11,2023/07/12,planning,0.0,3.0,2.0,4.0,,11.1,no,,
157,65,Learn touch typing,Learning & Skills,Curiosity / fun,04-29-2025,21 May 2025,Research,1.0,3.0,3.0,2.0,5.0,3.3,TRUE,2025-05-13,
158,114,Compare insurance providers,Financial,Curiosity / fun,12-02-2023,12 Dec 2023,researching,0.3,2.0,1.0,,1.0,6.0,yes,2024-03-08,
159,101,Start a niche newsletter,Side Project,Health & wellbeing,10-03-2024,10-03-2024,New,0.0,4.0,4.0,1.0,,4.5,1,2025-02-06,
160,264,Start a freelance side gig,SideProject,Career advancement,2023-02-16,02-16-2023,created,0.0,1.0,1.0,3.0,1.0,6.9,1,2023-08-02,
161,60,START A PHOTOGRAPHY PROJECT,CREATIVE ,Social connection,10-19-2023,2024/03/15,postponed,0.0,2.0,3.0,3.0,,14.4,yes,2024-03-20,Overestimated effort required
162,49,Set up automatic savings,FINANCIAL,Creative expression,2023-10-20,03-13-2024,Continued,1.1,2.0,2.0,4.0,,2.8,N,,
163,207,Collect and organize a hobby set,hobby,Social connection,02 May 2025,02/05/2025,Created,0.0,2.0,1.0,3.0,2.0,5.3,0,,
164,316,Plan a family visit,RELATIONSHIPS,Health & wellbeing,19/01/2024,01-19-2024,created,0.0,3.0,1.0,4.0,1.0,3.9,Y,2024-04-23,
165,38,write short stories weekly,creative,Health & wellbeing,2023-02-02,02-08-2023,Research,,3.0,3.0,3.0,1.0,2.1,no,,
166,188,Contribute to an open-source project,SideProject,Creative expression,2023/12/06,2024/01/27,REPLACED,0.0,low,1.0,4.0,2.0,4.9,,,Replaced by a different priority
167,163,START A PUZZLE-SOLVING HABIT,hobby,Career advancement,2023/01/27,27/01/2023,New,0.0,,2.0,5.0,1.0,20.7,Yes,2023-08-01,
168,203,Track spending for a month,financial,Obligation / should-do,05-15-2025,2025-06-29,Postponed,0.0,4.0,2.0,5.0,1.0,39.0,,,Competing priorities
169,39,Start a freelance side gig,SIDE PROJECT,Financial security,2023/10/13,2024/08/06,finished,0.0,2.0,3.0,3.0,1.0,9.5,No,,
170,197,Write a long-overdue message,Relationship,Personal growth,09-08-2023,11-12-2023,Started,0.0,4.0,3.0,2.0,,8.1,No,,
171,268,Build a personal dashboard,SideProject,Curiosity / fun,2025-05-03,03 May 2025,CREATED,0.0,,1.0,3.0,1.0,9.5,,,
172,267,Improve sleep schedule,fitness/health,Financial security,25 Jan 2024,24 Feb 2024,PLANNED,0.0,high,4.0,3.0,3.0,9.3,,,
173,306,PLAN A ROAD TRIP ROUTE,Travel,Creative expression,2023-10-19,10 Nov 2023,Researched,1.1,4.0,4.0,5.0,1.0,3.0,False,,
174,218,start a small garden,HOBBY,Curiosity / fun,04-22-2025,04-22-2025,CREATED,0.0,medium,medium,3.0,1.0,6.8,,,
175,263,Plan a family visit,Relationship,Creative expression,2023-10-18,2024/01/27,Continued,3.5,3.0,3.0,5.0,2.0,8.2,No,,
176,93,Start daily stretching,Fitness and Health,Health & wellbeing,17 Feb 2023,2023/02/17,CREATED,0.0,5.0,2.0,2.0,,7.4,yes,2023-07-02,
177,112,JOIN A LOCAL SOCIAL GROUP,Relationship,Health & wellbeing,2024/07/31,07-31-2024,Created,0.0,2.0,2.0,2.0,1.0,5.6,No,,
178,45,Write a long-overdue message,Relationship,Health & wellbeing,2023-10-13,12-23-2023,PUSHED BACK,0.0,5.0,1.0,4.0,1.0,5.3,False,,Lack of time
179,76,Review and cut subscriptions,Finance,Obligation / should-do,08-17-2023,07/12/2023,worked on it,4.0,2.0,3.0,3.0,,3.9,1,2023-10-19,
180,274,Learn touch typing,LEARNING & SKILLS,Obligation / should-do,05-14-2025,04/07/2025,worked on it,680.0,3.0,2.0,2.0,1.0,3.7,True,2025-09-16,
181,214,Plan a weekend getaway,Travel,Health & wellbeing,2025-02-03,02 May 2025,STARTED ,0.0,1.0,,4.0,1.0,11.2,False,,
182,212,Write a long-overdue message,relationships,Curiosity / fun,2023/07/25,2023-08-29,researching,1.8,2.0,2.0,4.0,2.0,5.9,1,2023-12-24,
